#ies_format_version: 1.0
#file: 20250311_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250311;	135728;	1741681648.000;	      0
20250311;	135732;	1741681652.000;	      0
20250311;	135736;	1741681656.000;	      0
20250311;	135740;	1741681660.000;	      0
20250311;	135744;	1741681664.000;	      0
20250311;	135748;	1741681668.000;	      0
20250311;	135752;	1741681672.000;	      0
20250311;	135756;	1741681676.000;	      0
20250311;	135800;	1741681680.000;	      0
20250311;	135804;	1741681684.000;	      0
20250311;	135808;	1741681688.000;	      0
20250311;	135812;	1741681692.000;	      0
20250311;	135816;	1741681696.000;	      0
20250311;	135820;	1741681700.000;	      0
20250311;	135824;	1741681704.000;	      0
20250311;	135828;	1741681708.000;	      0
20250311;	135832;	1741681712.000;	      0
20250311;	135836;	1741681716.000;	      0
20250311;	135840;	1741681720.000;	      0
20250311;	135844;	1741681724.000;	      0
20250311;	135848;	1741681728.000;	      0
20250311;	135852;	1741681732.000;	      0
20250311;	135856;	1741681736.000;	      0
20250311;	135900;	1741681740.000;	      0
20250311;	135904;	1741681744.000;	      0
20250311;	135908;	1741681748.000;	      0
20250311;	135912;	1741681752.000;	      0
20250311;	135916;	1741681756.000;	      0
20250311;	135920;	1741681760.000;	      0
20250311;	135924;	1741681764.000;	      0
20250311;	135928;	1741681768.000;	      0
20250311;	135932;	1741681772.000;	      0
20250311;	135936;	1741681776.000;	      0
20250311;	135940;	1741681780.000;	      0
20250311;	135944;	1741681784.000;	  err32
20250311;	135948;	1741681788.000;	  err32
20250311;	135952;	1741681792.000;	  err11
20250311;	135956;	1741681796.000;	      0
20250311;	140000;	1741681800.000;	      0
20250311;	140004;	1741681804.000;	      0
20250311;	140008;	1741681808.000;	      0
20250311;	140012;	1741681812.000;	      0
20250311;	140016;	1741681816.000;	      0
20250311;	140020;	1741681820.000;	      0
20250311;	140024;	1741681824.000;	      0
20250311;	140028;	1741681828.000;	      0
20250311;	140032;	1741681832.000;	      0
20250311;	140036;	1741681836.000;	      0
20250311;	140040;	1741681840.000;	      0
20250311;	140044;	1741681844.000;	      0
20250311;	140048;	1741681848.000;	      0
20250311;	140052;	1741681852.000;	      0
20250311;	140056;	1741681856.000;	      0
20250311;	140100;	1741681860.000;	      0
20250311;	140104;	1741681864.000;	      0
20250311;	140108;	1741681868.000;	      0
20250311;	140112;	1741681872.000;	      0
20250311;	140116;	1741681876.000;	      0
20250311;	140120;	1741681880.000;	      0
20250311;	140124;	1741681884.000;	      0
20250311;	140128;	1741681888.000;	      0
20250311;	140132;	1741681892.000;	      0
20250311;	140136;	1741681896.000;	      0
20250311;	140140;	1741681900.000;	      0
20250311;	140144;	1741681904.000;	      0
20250311;	140148;	1741681908.000;	      0
20250311;	140152;	1741681912.000;	      0
20250311;	140156;	1741681916.000;	      0
20250311;	140200;	1741681920.000;	      0
20250311;	140204;	1741681924.000;	      0
20250311;	140208;	1741681928.000;	      0
20250311;	140212;	1741681932.000;	      0
20250311;	140216;	1741681936.000;	      0
20250311;	140220;	1741681940.000;	      0
20250311;	140224;	1741681944.000;	      0
20250311;	140228;	1741681948.000;	      0
20250311;	140232;	1741681952.000;	      0
20250311;	140236;	1741681956.000;	      0
20250311;	140240;	1741681960.000;	      0
20250311;	140244;	1741681964.000;	      0
20250311;	140248;	1741681968.000;	      0
20250311;	140252;	1741681972.000;	      0
20250311;	140256;	1741681976.000;	      0
20250311;	140300;	1741681980.000;	      0
20250311;	140304;	1741681984.000;	      0
20250311;	140308;	1741681988.000;	      0
20250311;	140312;	1741681992.000;	      0
20250311;	140316;	1741681996.000;	      0
20250311;	140320;	1741682000.000;	      0
20250311;	140324;	1741682004.000;	      0
20250311;	140328;	1741682008.000;	      0
20250311;	140332;	1741682012.000;	      0
20250311;	140336;	1741682016.000;	      0
20250311;	140340;	1741682020.000;	      0
20250311;	140344;	1741682024.000;	      0
20250311;	140348;	1741682028.000;	      0
20250311;	140352;	1741682032.000;	      0
20250311;	140356;	1741682036.000;	      0
20250311;	140400;	1741682040.000;	      0
20250311;	140404;	1741682044.000;	      0
20250311;	140408;	1741682048.000;	      0
20250311;	140412;	1741682052.000;	      0
20250311;	140416;	1741682056.000;	      0
20250311;	140420;	1741682060.000;	      0
20250311;	140424;	1741682064.000;	      0
20250311;	140428;	1741682068.000;	      0
20250311;	140432;	1741682072.000;	      0
20250311;	140436;	1741682076.000;	      0
20250311;	140440;	1741682080.000;	      0
20250311;	140444;	1741682084.000;	      0
20250311;	140448;	1741682088.000;	      0
20250311;	140452;	1741682092.000;	      0
20250311;	140456;	1741682096.000;	      0
20250311;	140500;	1741682100.000;	      0
20250311;	140504;	1741682104.000;	      0
20250311;	140508;	1741682108.000;	      0
20250311;	140512;	1741682112.000;	      0
20250311;	140516;	1741682116.000;	      0
20250311;	140520;	1741682120.000;	      0
20250311;	140524;	1741682124.000;	      0
20250311;	140528;	1741682128.000;	      0
20250311;	140532;	1741682132.000;	      0
20250311;	140536;	1741682136.000;	      0
20250311;	140540;	1741682140.000;	      0
20250311;	140544;	1741682144.000;	      0
20250311;	140548;	1741682148.000;	      0
20250311;	140552;	1741682152.000;	      0
20250311;	140556;	1741682156.000;	      0
20250311;	140600;	1741682160.000;	      0
20250311;	140604;	1741682164.000;	      0
20250311;	140608;	1741682168.000;	      0
20250311;	140612;	1741682172.000;	      0
20250311;	140616;	1741682176.000;	      0
20250311;	140620;	1741682180.000;	      0
20250311;	140624;	1741682184.000;	      0
20250311;	140628;	1741682188.000;	      0
20250311;	140632;	1741682192.000;	      0
20250311;	140636;	1741682196.000;	      0
20250311;	140640;	1741682200.000;	      0
20250311;	140644;	1741682204.000;	      0
20250311;	140648;	1741682208.000;	      0
20250311;	140652;	1741682212.000;	      0
20250311;	140656;	1741682216.000;	      0
20250311;	140700;	1741682220.000;	      0
20250311;	140704;	1741682224.000;	      0
20250311;	140708;	1741682228.000;	      0
20250311;	140712;	1741682232.000;	      0
20250311;	140716;	1741682236.000;	      0
20250311;	140720;	1741682240.000;	      0
20250311;	140724;	1741682244.000;	      0
20250311;	140728;	1741682248.000;	      0
20250311;	140732;	1741682252.000;	      0
20250311;	140736;	1741682256.000;	      0
20250311;	140740;	1741682260.000;	      0
20250311;	140744;	1741682264.000;	      0
20250311;	140748;	1741682268.000;	      0
20250311;	140752;	1741682272.000;	      0
20250311;	140756;	1741682276.000;	      0
20250311;	140800;	1741682280.000;	      0
20250311;	140804;	1741682284.000;	      0
20250311;	140808;	1741682288.000;	      0
20250311;	140812;	1741682292.000;	      0
20250311;	140816;	1741682296.000;	      0
20250311;	140820;	1741682300.000;	      0
20250311;	140824;	1741682304.000;	      0
20250311;	140828;	1741682308.000;	      0
20250311;	140832;	1741682312.000;	      0
20250311;	140836;	1741682316.000;	      0
20250311;	140840;	1741682320.000;	      0
20250311;	140844;	1741682324.000;	      0
20250311;	140848;	1741682328.000;	      0
20250311;	140852;	1741682332.000;	      0
20250311;	140856;	1741682336.000;	      0
20250311;	140900;	1741682340.000;	      0
20250311;	140904;	1741682344.000;	      0
20250311;	140908;	1741682348.000;	      0
20250311;	140912;	1741682352.000;	      0
20250311;	140916;	1741682356.000;	      0
20250311;	140920;	1741682360.000;	      0
20250311;	140924;	1741682364.000;	      0
20250311;	140928;	1741682368.000;	      0
20250311;	140932;	1741682372.000;	      0
20250311;	140936;	1741682376.000;	      0
20250311;	140940;	1741682380.000;	      0
20250311;	140944;	1741682384.000;	      0
20250311;	140948;	1741682388.000;	      0
20250311;	140952;	1741682392.000;	      0
20250311;	140956;	1741682396.000;	      0
20250311;	141000;	1741682400.000;	      0
20250311;	141004;	1741682404.000;	      0
20250311;	141008;	1741682408.000;	      0
20250311;	141012;	1741682412.000;	      0
20250311;	141016;	1741682416.000;	      0
20250311;	141020;	1741682420.000;	      0
20250311;	141024;	1741682424.000;	      0
20250311;	141028;	1741682428.000;	      0
20250311;	141032;	1741682432.000;	      0
20250311;	141036;	1741682436.000;	      0
20250311;	141040;	1741682440.000;	      0
20250311;	141044;	1741682444.000;	      0
20250311;	141048;	1741682448.000;	      0
20250311;	141052;	1741682452.000;	      0
20250311;	141056;	1741682456.000;	      0
20250311;	141100;	1741682460.000;	      0
20250311;	141104;	1741682464.000;	      0
20250311;	141108;	1741682468.000;	      0
20250311;	141112;	1741682472.000;	      0
20250311;	141116;	1741682476.000;	      0
20250311;	141120;	1741682480.000;	      0
20250311;	141124;	1741682484.000;	      0
20250311;	141128;	1741682488.000;	      0
20250311;	141132;	1741682492.000;	      0
20250311;	141136;	1741682496.000;	      0
20250311;	141140;	1741682500.000;	      0
20250311;	141144;	1741682504.000;	      0
20250311;	141148;	1741682508.000;	      0
20250311;	141152;	1741682512.000;	      0
20250311;	141156;	1741682516.000;	      0
20250311;	141200;	1741682520.000;	      0
20250311;	141204;	1741682524.000;	      0
20250311;	141208;	1741682528.000;	      0
20250311;	141212;	1741682532.000;	      0
20250311;	141216;	1741682536.000;	      0
20250311;	141220;	1741682540.000;	      0
20250311;	141224;	1741682544.000;	      0
20250311;	141228;	1741682548.000;	      0
20250311;	141232;	1741682552.000;	      0
20250311;	141236;	1741682556.000;	      0
20250311;	141240;	1741682560.000;	      0
20250311;	141244;	1741682564.000;	      0
20250311;	141248;	1741682568.000;	      0
20250311;	141252;	1741682572.000;	      0
20250311;	141256;	1741682576.000;	      0
20250311;	141300;	1741682580.000;	      0
20250311;	141304;	1741682584.000;	      0
20250311;	141308;	1741682588.000;	      0
20250311;	141312;	1741682592.000;	      0
20250311;	141316;	1741682596.000;	      0
20250311;	141320;	1741682600.000;	      0
20250311;	141324;	1741682604.000;	      0
20250311;	141328;	1741682608.000;	      0
20250311;	141332;	1741682612.000;	      0
20250311;	141336;	1741682616.000;	      0
20250311;	141340;	1741682620.000;	      0
20250311;	141344;	1741682624.000;	      0
20250311;	141348;	1741682628.000;	      0
20250311;	141352;	1741682632.000;	      0
20250311;	141356;	1741682636.000;	      0
20250311;	141400;	1741682640.000;	      0
20250311;	141404;	1741682644.000;	      0
20250311;	141408;	1741682648.000;	      0
20250311;	141412;	1741682652.000;	      0
20250311;	141416;	1741682656.000;	      0
20250311;	141420;	1741682660.000;	      0
20250311;	141424;	1741682664.000;	      0
20250311;	141428;	1741682668.000;	      0
20250311;	141432;	1741682672.000;	      0
20250311;	141436;	1741682676.000;	      0
20250311;	141440;	1741682680.000;	      0
20250311;	141444;	1741682684.000;	      0
20250311;	141448;	1741682688.000;	      0
20250311;	141452;	1741682692.000;	      0
20250311;	141456;	1741682696.000;	      0
20250311;	141500;	1741682700.000;	      0
20250311;	141504;	1741682704.000;	      0
20250311;	141508;	1741682708.000;	      0
20250311;	141512;	1741682712.000;	      0
20250311;	141516;	1741682716.000;	      0
20250311;	141520;	1741682720.000;	      0
20250311;	141524;	1741682724.000;	      0
20250311;	141528;	1741682728.000;	      0
20250311;	141532;	1741682732.000;	      0
20250311;	141536;	1741682736.000;	      0
20250311;	141540;	1741682740.000;	      0
20250311;	141544;	1741682744.000;	      0
20250311;	141548;	1741682748.000;	      0
20250311;	141552;	1741682752.000;	      0
20250311;	141556;	1741682756.000;	      0
20250311;	141600;	1741682760.000;	      0
20250311;	141604;	1741682764.000;	      0
20250311;	141608;	1741682768.000;	      0
20250311;	141612;	1741682772.000;	      0
20250311;	141616;	1741682776.000;	      0
20250311;	141620;	1741682780.000;	      0
20250311;	141624;	1741682784.000;	      0
20250311;	141628;	1741682788.000;	      0
20250311;	141632;	1741682792.000;	      0
20250311;	141636;	1741682796.000;	      0
20250311;	141640;	1741682800.000;	      0
20250311;	141644;	1741682804.000;	      0
20250311;	141648;	1741682808.000;	      0
20250311;	141652;	1741682812.000;	      0
20250311;	141656;	1741682816.000;	      0
20250311;	141700;	1741682820.000;	      0
20250311;	141704;	1741682824.000;	      0
20250311;	141708;	1741682828.000;	      0
20250311;	141712;	1741682832.000;	      0
20250311;	141716;	1741682836.000;	      0
20250311;	141720;	1741682840.000;	      0
20250311;	141724;	1741682844.000;	      0
20250311;	141728;	1741682848.000;	      0
20250311;	141732;	1741682852.000;	      0
20250311;	141736;	1741682856.000;	      0
20250311;	141740;	1741682860.000;	      0
20250311;	141744;	1741682864.000;	      0
20250311;	141748;	1741682868.000;	      0
20250311;	141752;	1741682872.000;	      0
20250311;	141756;	1741682876.000;	      0
20250311;	141800;	1741682880.000;	      0
20250311;	141804;	1741682884.000;	      0
20250311;	141808;	1741682888.000;	      0
20250311;	141812;	1741682892.000;	      0
20250311;	141816;	1741682896.000;	      0
20250311;	141820;	1741682900.000;	      0
20250311;	141824;	1741682904.000;	      0
20250311;	141828;	1741682908.000;	      0
20250311;	141832;	1741682912.000;	      0
20250311;	141836;	1741682916.000;	      0
20250311;	141840;	1741682920.000;	      0
20250311;	141844;	1741682924.000;	      0
20250311;	141848;	1741682928.000;	      0
20250311;	141852;	1741682932.000;	      0
20250311;	141856;	1741682936.000;	      0
20250311;	141900;	1741682940.000;	      0
20250311;	141904;	1741682944.000;	      0
20250311;	141908;	1741682948.000;	      0
20250311;	141912;	1741682952.000;	      0
20250311;	141916;	1741682956.000;	      0
20250311;	141920;	1741682960.000;	      0
20250311;	141924;	1741682964.000;	      0
20250311;	141928;	1741682968.000;	      0
20250311;	141932;	1741682972.000;	      0
20250311;	141936;	1741682976.000;	      0
20250311;	141940;	1741682980.000;	      0
20250311;	141944;	1741682984.000;	      0
20250311;	141948;	1741682988.000;	      0
20250311;	141952;	1741682992.000;	      0
20250311;	141956;	1741682996.000;	      0
20250311;	142000;	1741683000.000;	      0
20250311;	142004;	1741683004.000;	      0
20250311;	142008;	1741683008.000;	      0
20250311;	142012;	1741683012.000;	      0
20250311;	142016;	1741683016.000;	      0
20250311;	142020;	1741683020.000;	      0
20250311;	142024;	1741683024.000;	      0
20250311;	142028;	1741683028.000;	      0
20250311;	142032;	1741683032.000;	      0
20250311;	142036;	1741683036.000;	      0
20250311;	142040;	1741683040.000;	      0
20250311;	142044;	1741683044.000;	      0
20250311;	142048;	1741683048.000;	      0
20250311;	142052;	1741683052.000;	      0
20250311;	142056;	1741683056.000;	      0
20250311;	142100;	1741683060.000;	      0
20250311;	142104;	1741683064.000;	      0
20250311;	142108;	1741683068.000;	      0
20250311;	142112;	1741683072.000;	      0
20250311;	142116;	1741683076.000;	      0
20250311;	142120;	1741683080.000;	      0
20250311;	142124;	1741683084.000;	      0
20250311;	142128;	1741683088.000;	      0
20250311;	142132;	1741683092.000;	      0
20250311;	142136;	1741683096.000;	      0
20250311;	142140;	1741683100.000;	      0
20250311;	142144;	1741683104.000;	      0
20250311;	142148;	1741683108.000;	      0
20250311;	142152;	1741683112.000;	      0
20250311;	142156;	1741683116.000;	      0
20250311;	142200;	1741683120.000;	      0
20250311;	142204;	1741683124.000;	      0
20250311;	142208;	1741683128.000;	      0
20250311;	142212;	1741683132.000;	      0
20250311;	142216;	1741683136.000;	      0
20250311;	142220;	1741683140.000;	      0
20250311;	142224;	1741683144.000;	      0
20250311;	142228;	1741683148.000;	      0
20250311;	142232;	1741683152.000;	      0
20250311;	142236;	1741683156.000;	      0
20250311;	142240;	1741683160.000;	      0
20250311;	142244;	1741683164.000;	      0
20250311;	142248;	1741683168.000;	      0
20250311;	142252;	1741683172.000;	      0
20250311;	142256;	1741683176.000;	      0
20250311;	142300;	1741683180.000;	      0
20250311;	142304;	1741683184.000;	      0
20250311;	142308;	1741683188.000;	      0
20250311;	142312;	1741683192.000;	      0
20250311;	142316;	1741683196.000;	      0
20250311;	142320;	1741683200.000;	      0
20250311;	142324;	1741683204.000;	      0
20250311;	142328;	1741683208.000;	      0
20250311;	142332;	1741683212.000;	      0
20250311;	142336;	1741683216.000;	      0
20250311;	142340;	1741683220.000;	      0
20250311;	142344;	1741683224.000;	      0
20250311;	142348;	1741683228.000;	      0
20250311;	142352;	1741683232.000;	      0
20250311;	142356;	1741683236.000;	      0
20250311;	142400;	1741683240.000;	      0
20250311;	142404;	1741683244.000;	      0
20250311;	142408;	1741683248.000;	      0
20250311;	142412;	1741683252.000;	      0
20250311;	142416;	1741683256.000;	      0
20250311;	142420;	1741683260.000;	      0
20250311;	142424;	1741683264.000;	      0
20250311;	142428;	1741683268.000;	      0
20250311;	142432;	1741683272.000;	      0
20250311;	142436;	1741683276.000;	      0
20250311;	142440;	1741683280.000;	      0
20250311;	142444;	1741683284.000;	      0
20250311;	142448;	1741683288.000;	      0
20250311;	142452;	1741683292.000;	      0
20250311;	142456;	1741683296.000;	      0
20250311;	142500;	1741683300.000;	      0
20250311;	142504;	1741683304.000;	      0
20250311;	142508;	1741683308.000;	      0
20250311;	142512;	1741683312.000;	      0
20250311;	142516;	1741683316.000;	      0
20250311;	142520;	1741683320.000;	      0
20250311;	142524;	1741683324.000;	      0
20250311;	142528;	1741683328.000;	      0
20250311;	142532;	1741683332.000;	      0
20250311;	142536;	1741683336.000;	      0
20250311;	142540;	1741683340.000;	      0
20250311;	142544;	1741683344.000;	      0
20250311;	142548;	1741683348.000;	      0
20250311;	142552;	1741683352.000;	      0
20250311;	142556;	1741683356.000;	      0
20250311;	142600;	1741683360.000;	      0
20250311;	142604;	1741683364.000;	      0
20250311;	142608;	1741683368.000;	      0
20250311;	142612;	1741683372.000;	      0
20250311;	142616;	1741683376.000;	      0
20250311;	142620;	1741683380.000;	      0
20250311;	142624;	1741683384.000;	      0
20250311;	142628;	1741683388.000;	      0
20250311;	142632;	1741683392.000;	      0
20250311;	142636;	1741683396.000;	      0
20250311;	142640;	1741683400.000;	      0
20250311;	142644;	1741683404.000;	      0
20250311;	142648;	1741683408.000;	      0
20250311;	142652;	1741683412.000;	      0
20250311;	142656;	1741683416.000;	      0
20250311;	142700;	1741683420.000;	      0
20250311;	142704;	1741683424.000;	      0
20250311;	142708;	1741683428.000;	      0
20250311;	142712;	1741683432.000;	      0
20250311;	142716;	1741683436.000;	      0
20250311;	142720;	1741683440.000;	      0
20250311;	142724;	1741683444.000;	      0
20250311;	142728;	1741683448.000;	      0
20250311;	142732;	1741683452.000;	      0
20250311;	142736;	1741683456.000;	      0
20250311;	142740;	1741683460.000;	      0
20250311;	142744;	1741683464.000;	      0
20250311;	142748;	1741683468.000;	      0
20250311;	142752;	1741683472.000;	      0
20250311;	142756;	1741683476.000;	      0
20250311;	142800;	1741683480.000;	      0
20250311;	142804;	1741683484.000;	      0
20250311;	142808;	1741683488.000;	      0
20250311;	142812;	1741683492.000;	      0
20250311;	142816;	1741683496.000;	      0
20250311;	142820;	1741683500.000;	      0
20250311;	142824;	1741683504.000;	      0
20250311;	142828;	1741683508.000;	      0
20250311;	142832;	1741683512.000;	      0
20250311;	142836;	1741683516.000;	      0
20250311;	142840;	1741683520.000;	      0
20250311;	142844;	1741683524.000;	      0
20250311;	142848;	1741683528.000;	      0
20250311;	142852;	1741683532.000;	      0
20250311;	142856;	1741683536.000;	      0
20250311;	142900;	1741683540.000;	      0
